1,1,268,0,0,2007,9378
5,1,291,0,0,2005,9611
5,1,279,260,0,2008,9583
5,0,0,0,0,0,9477
1,1,249,272,89,2008,4849
2,1,273,289,0,2002,53398
1,1,278,0,90,2008,22211
2,1,260,289,0,2005,9496
1,1,288,0,90,2009,9532
2,1,245,0,0,2005,16390
2,1,261,248,0,2005,9385
2,1,236,251,0,2005,9459
5,1,273,0,0,2006,55041
1,1,268,0,92,2009,25067
1,1,268,289,92,2009,9417
5,1,259,0,0,2006,0
5,1,0,0,91,2006,22258
1,1,249,274,89,2008,8842
1,1,245,283,90,2009,9324
1,1,264,260,93,2004,0
1,1,251,267,94,2007,25023
1,1,248,265,93,2007,9442
5,1,0,0,0,0,0
1,1,238,0,93,0,15932
1,1,268,0,86,2006,3506
5,2,259,258,91,2005,0
1,1,0,0,0,0,3560
1,1,248,260,94,2007,3646
1,1,257,249,0,2006,9753
1,1,273,0,89,2008,15945
1,1,288,281,87,2006,22237
1,1,245,267,94,2009,9372
1,1,273,0,92,2008,17634
1,1,247,280,0,1926,17863
1,1,0,0,90,2009,9460
1,1,0,0,0,2009,0
1,1,261,289,93,2006,51856
1,1,281,0,0,2008,3750
1,1,270,0,92,2009,16793
2,1,240,265,0,2005,8872
1,1,273,278,90,2008,52453
1,1,242,281,86,2006,9802
2,1,251,236,0,2005,9407
1,1,288,292,0,2007,6139
1,1,269,287,88,2005,9403
5,2,0,0,94,2006,0
5,1,258,0,91,0,16733
1,1,251,289,89,2007,15902
5,1,249,0,0,2006,15959
1,1,273,0,94,2009,9196
1,1,239,0,94,2009,15969
1,1,264,0,93,2005,2375
1,1,281,0,92,2009,9556
1,1,263,253,89,2008,50314
1,1,247,272,92,2008,0
1,1,238,257,90,2009,9628
1,1,280,0,94,2009,15922
2,1,283,263,0,2005,57221
1,1,291,249,90,2009,16243
1,1,249,0,92,2009,23623
1,1,257,272,92,0,9573
1,1,239,278,0,2008,50692
1,1,273,281,0,2007,9536
1,1,256,236,86,2006,25036
1,1,0,0,87,2008,9382
1,1,256,0,92,2009,9768
2,1,268,239,0,2005,9372
1,1,280,0,93,2006,0
1,1,270,0,0,0,9542
1,1,270,0,0,2008,9769
1,1,249,288,0,2006,9673
1,0,238,264,95,2007,15921
5,1,273,0,0,2007,15898
1,1,263,245,86,2007,51129
1,1,245,256,0,2007,15931
1,1,249,0,94,2009,8902
5,1,0,0,0,0,9333
1,1,254,251,95,2006,3598
1,0,0,0,0,2008,3685
1,1,288,277,94,2008,9400
4,2,0,0,0,0,0
1,1,0,0,92,2008,25036
1,1,0,0,90,2009,51494
1,1,257,249,89,2008,8831
1,1,242,274,92,2008,236
1,1,281,261,92,2009,3570
1,1,286,0,86,2007,50615
2,1,281,289,0,2005,8826
1,1,248,281,88,2005,2201
1,1,277,279,0,2006,9451
1,1,260,248,93,2007,8977
1,1,238,245,0,2007,0
1,0,251,259,87,2006,8952
2,1,242,0,0,2005,50506
1,1,263,248,86,2007,8937
1,1,239,242,94,2009,15970
1,1,240,0,94,2006,9404
1,1,240,248,0,2007,9649
1,1,278,0,92,2009,9665
1,1,268,0,92,2009,9441
1,1,269,0,0,2007,10289
1,1,260,277,92,2009,4269
1,1,239,0,94,2008,22237
1,1,0,0,92,2009,17573
2,1,240,287,0,2005,15969
1,1,268,0,90,2009,50692
1,1,277,260,0,2005,8823
2,1,281,0,0,2005,9363
1,1,239,0,86,2006,16216
1,1,239,281,93,2006,3681
